service,attributes
AC Ducts,"brief_description_optional,location_area_block_landmark,new_installation_or_repair,preferred_duct_material,system"
AC Maintenance,"ac_issue,ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units"
AC Repair,"appliance,appliance_issue,brief_description_optional,location_area_block_landmark,on_site_visit_or_carry_in"
Abaya Tailoring,"brief_description_optional,do_you_have_fabric,do_you_have_measurements,location_area_block_landmark,men_garment_type,number_of_pieces"
Adding Floors,"brief_description_optional,elevators_service,location_area_block_landmark,number_of_floors_if_applicable,required_capacity_kg_if_known"
Additions,"area_m²_size,brief_description_optional,builders_job_type,builders_who_supplies_materials,location_area_block_landmark,target_timeline"
Air Duct Redistribution,"ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units,redistribution_goal,rooms_areas_affected"
Aluminum,"aluminum_access_constraints,aluminum_item,aluminum_job_type,approx_dimensions_per_piece_wh_cm,brief_description_optional,location_area_block_landmark,quantity_number_of_pieces"
Aluminum Doors,"brief_description_optional,door_type,include_lockhandle,installation_or_repair,location_area_block_landmark,quantity"
Apartment Cleaning,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
Apartment Doors,"brief_description_optional,door_type,include_lockhandle,installation_or_repair,location_area_block_landmark,quantity"
Artificial Turf Installation,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Awnings,"brief_description_optional,location_area_block_landmark,main_dimensions_whl_cm,material,metal_finish,metalwork_item,quantity"
Bad Odor Detection,"brief_description_optional,how_many_units_vents,issues_noticed,location_area_block_landmark,systems_to_clean,when_last_cleaned"
Bathroom Insulation,"brief_description_optional,location_area_block_landmark,main_problem,preferred_insulation,roof_access_constraints,roof_area_m²"
Blacksmithing,"brief_description_optional,location_area_block_landmark,main_dimensions_whl_cm,material,metal_finish,metalwork_item,quantity"
Blueprints,"brief_description_optional,electrician_service,electrician_who_supplies_materials,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark"
Breaking and Extension,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Breaking and Installation,"area_m²,brief_description_optional,ceramic_service,location_area_block_landmark,remove_old_flooring,tile_size,who_supplies_tilesmaterials"
Bricks,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
